hub_id,company_name,sido,address,matched_address,lat,lon,area_m2,fixed_cost,capacity_tons,storage_item,일반창고면적,냉동냉장창고면적,보관장소면적
WH_03484,(주)에이피씨티,세종특별자치시,세종특별자치시 전의면 산단길 21-101 -,세종특별자치시 전의면 산단길 21-101,36.7064599028409,127.219647562896,4702.0,4702000.0,470200.0,Mixed,4702,0,0
WH_03485,유성환경(주),경기도,경기도 포천시 소흘읍 소흘로 33 유성환경(주),경기 포천시 소흘읍 소흘로 33,37.8071487817043,127.136473970041,250.13,250130.0,25013.0,Mixed,250.13,0,0
WH_03486,(주)케이더블유이코리아,인천광역시,인천광역시 중구 공항동로296번길 98-114 (운서동) KWE물류센터 B-3 ,인천 중구 공항동로296번길 98-114,37.4762266826232,126.4827394937,8876.84,8876840.0,887684.0,Mixed,8876.84,0,0
WH_03487,태남홀딩스(주),부산광역시,부산광역시 강서구 녹산산단178로 37-14 태남홀딩스(주)  ,부산 강서구 녹산산단178로 37-14,35.0850635721214,128.838828336858,17580.0,17580000.0,1758000.0,Mixed,17580,0,0
WH_03488,케피온(주) 예산공장,충청남도,충청남도 예산군 고덕면 예당산단1길 39 케피온(주)예산공장,충남 예산군 고덕면 예당산단1길 39,36.7709654396689,126.721519863318,218.04,218040.0,21804.0,Mixed,218.04,0,0
WH_03489,(주)대명케미칼,경기도,경기도 화성시 마도면 청원산단3길 187 (청원리 1479),경기 화성시 만세구 마도면 청원산단3길 187,37.167535983851,126.762994685945,3247.89,3247890.0,324789.0,Mixed,3247.89,0,0
WH_03490,(주)유니온로지스,세종특별자치시,세종특별자치시 전의면 운주산로 1448 ㈜유니온로지스 세종지점,세종특별자치시 전의면 운주산로 1448,36.6831553513122,127.177234686297,5586.0,5586000.0,558600.0,Mixed,5586,0,0
WH_03491,주식회사 경서물류센타,경기도,경기도 김포시 승가로76번길 90 (주)경서물류센타,경기 김포시 승가로76번길 90,37.6097621370991,126.71573426992,5312.0,5312000.0,531200.0,Mixed,5312,0,0
WH_03492,디티엑스(주) 음성창고,충청북도,충청북도 음성군 생극면 일생로 408 ㈜태광케미칼,,36.6357,127.4913,2780.0,2780000.0,278000.0,Mixed,2780,0,0
WH_03493,(주)삼양보세창고,경상남도,경상남도 양산시 칠산길 52 (다방동),경남 양산시 칠산길 52,35.333147313618,129.047845931855,28034.0,28034000.0,2803400.0,Mixed,55637.16,0,0
WH_03494,세진물류,경기도,경기도 화성시 버들로 851 ,경기 화성시 만세구 우정읍 버들로 851,37.1144802255426,126.812258231379,6618.0,6618000.0,661800.0,Mixed,6618,0,0
WH_03495,(주)나브텍 밀양지점,경상남도,경상남도 밀양시 부북면 춘화농공단지길 70 (주)나브텍 밀양지점,경남 밀양시 부북면 춘화농공단지길 70,35.5294289519296,128.728861386873,38.4,38400.0,3840.0,Mixed,38.4,0,0
WH_03496,(주)코텍,경상남도,경상남도 창원시 성산구 웅남로 826 (성주동),경남 창원시 성산구 웅남로 826,35.1912517552247,128.693438292137,19890.7,19890700.0,1989070.0,Mixed,19890.7,0,0
WH_03497,(주)케이씨씨 광주물류센터,광주광역시,광주광역시 광산구 원두로 59 (주)케이씨씨 광주물류센터,광주 광산구 원두로 59,35.1228932647237,126.770236947052,3144.68,3144680.0,314468.0,Mixed,3144.68,0,0
WH_03498,㈜케이씨티시 화성물류센터,경기도,경기도 화성시 장안면 매바위로366번길 68-23 ㈜케이씨티시 화성물류센터,경기 화성시 만세구 장안면 매바위로366번길 68-23,37.1443119619187,126.820238819648,916.25,916250.0,91625.0,Mixed,916.25,0,0
